domain,registered_date,registered_year,expire,changed,registrar,org,city,country,nameservers
cidata.gob.ve,,,,,,Centro De Investigaciones De Astronomia Francisco J Duarte,5101,VE,"ns.nocdirect.com, ns2.nocdirect.com"
ciepe.gob.ve,,,,,,Alexis Jose,3201,VE,"dns20.dnsx5.com, dns10.dnsx5.com"
circuitoscomunales.gob.ve,,,,,,Comision Nacional De Telecomunicaciones Conatel,1020,VE,"romina.ns.cloudflare.com, jonah.ns.cloudflare.com"
cmao.gob.ve,,,,,,Concejo Municipal Angostura Del Orinoco,8001,VE,"ns2.cmao.gob.ve, ns1.cmao.gob.ve"
cmb.gob.ve,,,,,,,Caracas,VE,"ns1.dattaapure.com, ns2.dattaapure.com"
cmbnaguanagua.gob.ve,,,,,,Concejo Municipal Bolivariano De Naguanagua,2005,VE,"ns24.tepuyserver.net, ns23.tepuyserver.net"
cmcarvajal.gob.ve,,,,,,,Trujillo,VE,"ns1.cdmon.net, ns2.cdmon.net, ns3.cdmon.net"
cmchacao.gob.ve,,,,,,Contraloria Municipal Del Municipio Chacao,Caracas,VE,"harvey.ns.cloudflare.com, kristina.ns.cloudflare.com"
cmldc.gob.ve,,,,,,Contraloria Municipal Del Municipio Bolivariano Libertador Del Distrito Capital,1010,VE,"ns4.reacciun.ve, ns3.reacciun.ve"
cnc.gob.ve,,,,,,Dixon Alexander,1060,VE,"ns62.cloudns.com, ns61.cloudns.net"
cne.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
cneh.gob.ve,,,,,,Fundacion Centro Nacional De Estudios Historicos,1010,VE,ns1.cneh.gob.ve
cnti.gob.ve,,,,,,,Caracas,VE,"ns3.reacciun.ve, ns4.reacciun.ve, dns2.cnti.gob.ve, dns1.cnti.gob.ve"
cntq.gob.ve,,,,,,,Caracas,VE,"ns1.mppct.gob.ve, ns2.mppct.gob.ve"
cnu.gob.ve,,,,,,Consejo Nacional De Universidades,1010,VE,"ns4.reacciun.ve, ns3.reacciun.ve"
codecyt.gob.ve,,,,,,,Caracas,VE,"ns1.mppct.gob.ve, ns2.mppct.gob.ve"
comex.gob.ve,,,,,,Ministerio Del Poder Popular De Econom  A Y Finanzas,1010,VE,"dns2.mppef.gob.ve, dns1.mppef.gob.ve"
comisionesequibo.gob.ve,,,,,,Compa  Ia Anonima Venezolana De Television,1071,VE,"dns2.cantv.net, dns1.cantv.net"
comisionpresidencialucv.gob.ve,,,,,,Fundaci  N Misi  N Venezuela Bella,1010,VE,"ns2.siteground.net, ns1.siteground.net"
comunas.gob.ve,,,,,,Ministerio Del Poder Popular Para Las Comunas Y Los Movimientos Sociales,1050,VE,"dns2.comunas.gob.ve, dns1.comunas.gob.ve"
